drug,gene,label,drug_new_id,gene_new_id,label
DB12582,1437,-1,416,913,-1
DB12582,7402,1,416,4442,1
DB12582,3553,-1,416,2079,-1
DB12582,5243,1,416,3063,1
DB12582,7124,-1,416,4282,-1
DB12582,3569,-1,416,2093,-1
DB00502,55062,1,84,8685,1
DB00502,83729,1,84,10427,1
DB00502,6517,1,84,3879,1
DB00502,2950,-1,84,1765,-1
DB00502,64838,1,84,9705,1
DB00502,6309,1,84,3739,1
DB00502,1813,1,84,1141,1
DB00502,440,-1,84,290,-1
DB00502,2194,1,84,1382,1
DB00502,6319,1,84,3744,1
DB00502,3156,1,84,1896,1
DB00502,79153,1,84,9851,1
DB00502,12,1,84,3,1
DB00502,1392,-1,84,884,-1
DB00502,5243,-1,84,3063,-1
DB00502,9444,1,84,5424,1
DB00502,3949,1,84,2346,1
DB00571,154,-1,100,96,-1
DB00571,4313,-1,100,2566,-1
DB00571,5243,1,100,3063,1
DB00571,5743,-1,100,3412,-1
DB00571,4318,-1,100,2570,-1
DB11134,55422,1,373,8902,1
DB11134,7813,-1,373,4614,-1
DB11134,3269,1,373,1966,1
DB11134,7026,-1,373,4202,-1
DB11134,6493,-1,373,3858,-1
DB11134,558,-1,373,349,-1
DB11134,9793,-1,373,5677,-1
DB11134,4783,1,373,2775,1
DB11134,1317,1,373,840,1
DB11134,5042,-1,373,2930,-1
DB11134,890,-1,373,564,-1
DB11134,6241,-1,373,3699,-1
DB11134,347733,-1,373,10914,-1
DB11134,51265,1,373,8128,1
DB11134,10912,1,373,6444,1
DB11134,55930,-1,373,9133,-1
DB11134,2551,1,373,1523,1
DB11134,64759,-1,373,9673,-1
DB11134,55892,1,373,9120,1
DB11134,5932,-1,373,3540,-1
DB11134,24144,1,373,7346,1
DB11134,6884,1,373,4133,1
DB11134,1958,1,373,1223,1
DB11134,79753,1,373,10014,1
DB11134,5930,1,373,3538,1
DB11134,7728,1,373,4576,1
DB11134,2896,1,373,1726,1
DB11134,11113,-1,373,6577,-1
DB11134,7003,1,373,4184,1
DB11134,84669,1,373,10482,1
DB11134,51085,1,373,8036,1
DB11134,8609,1,373,4912,1
DB11134,9419,1,373,5410,1
DB11134,7975,1,373,4651,1
DB11134,6790,-1,373,4081,-1
DB11134,7265,1,373,4355,1
DB11134,7157,-1,373,4304,-1
DB11134,3486,-1,373,2064,-1
DB11134,3638,1,373,2146,1
DB11134,5611,1,373,3313,1
DB11134,4173,-1,373,2494,-1
DB11134,22847,1,373,6748,1
DB11134,23309,1,373,7085,1
DB11134,25888,1,373,7417,1
DB11134,6303,1,373,3735,1
DB11134,4597,1,373,2646,1
DB11134,4627,-1,373,2669,-1
DB11134,83461,-1,373,10408,-1
DB11134,26271,-1,373,7567,-1
DB11134,10769,-1,373,6370,-1
