,DB12582,1437,-1,编号,数字部分,新编号
0,DB12582,7402,1,416,12582,416
1,DB12582,3553,-1,416,12582,416
2,DB12582,5243,1,416,12582,416
3,DB12582,7124,-1,416,12582,416
4,DB12582,3569,-1,416,12582,416
5,DB00502,55062,1,84,00502,84
6,DB00502,83729,1,84,00502,84
7,DB00502,6517,1,84,00502,84
8,DB00502,2950,-1,84,00502,84
9,DB00502,64838,1,84,00502,84
10,DB00502,6309,1,84,00502,84
11,DB00502,1813,1,84,00502,84
12,DB00502,440,-1,84,00502,84
13,DB00502,2194,1,84,00502,84
14,DB00502,6319,1,84,00502,84
15,DB00502,3156,1,84,00502,84
16,DB00502,79153,1,84,00502,84
17,DB00502,12,1,84,00502,84
18,DB00502,1392,-1,84,00502,84
19,DB00502,5243,-1,84,00502,84
20,DB00502,9444,1,84,00502,84
21,DB00502,3949,1,84,00502,84
22,DB00571,154,-1,100,00571,100
23,DB00571,4313,-1,100,00571,100
24,DB00571,5243,1,100,00571,100
25,DB00571,5743,-1,100,00571,100
26,DB00571,4318,-1,100,00571,100
27,DB11134,55422,1,373,11134,373
28,DB11134,7813,-1,373,11134,373
29,DB11134,3269,1,373,11134,373
30,DB11134,7026,-1,373,11134,373
31,DB11134,6493,-1,373,11134,373
32,DB11134,558,-1,373,11134,373
33,DB11134,9793,-1,373,11134,373
34,DB11134,4783,1,373,11134,373
35,DB11134,1317,1,373,11134,373
36,DB11134,5042,-1,373,11134,373
37,DB11134,890,-1,373,11134,373
38,DB11134,6241,-1,373,11134,373
39,DB11134,347733,-1,373,11134,373
40,DB11134,51265,1,373,11134,373
41,DB11134,10912,1,373,11134,373
42,DB11134,55930,-1,373,11134,373
43,DB11134,2551,1,373,11134,373
44,DB11134,64759,-1,373,11134,373
45,DB11134,55892,1,373,11134,373
46,DB11134,5932,-1,373,11134,373
47,DB11134,24144,1,373,11134,373
48,DB11134,6884,1,373,11134,373
49,DB11134,1958,1,373,11134,373
50,DB11134,79753,1,373,11134,373
51,DB11134,5930,1,373,11134,373
52,DB11134,7728,1,373,11134,373
53,DB11134,2896,1,373,11134,373
54,DB11134,11113,-1,373,11134,373
55,DB11134,7003,1,373,11134,373
56,DB11134,84669,1,373,11134,373
57,DB11134,51085,1,373,11134,373
58,DB11134,8609,1,373,11134,373
59,DB11134,9419,1,373,11134,373
60,DB11134,7975,1,373,11134,373
61,DB11134,6790,-1,373,11134,373
62,DB11134,7265,1,373,11134,373
63,DB11134,7157,-1,373,11134,373
64,DB11134,3486,-1,373,11134,373
65,DB11134,3638,1,373,11134,373
66,DB11134,5611,1,373,11134,373
67,DB11134,4173,-1,373,11134,373
68,DB11134,22847,1,373,11134,373
69,DB11134,23309,1,373,11134,373
70,DB11134,25888,1,373,11134,373
71,DB11134,6303,1,373,11134,373
72,DB11134,4597,1,373,11134,373
73,DB11134,4627,-1,373,11134,373
74,DB11134,83461,-1,373,11134,373
75,DB11134,26271,-1,373,11134,373
76,DB11134,10769,-1,373,11134,373
77,DB11134,10926,-1,373,11134,373
78,DB11134,4601,1,373,11134,373
79,DB11134,10781,1,373,11134,373
80,DB11134,3320,1,373,11134,373
81,DB11134,580,-1,373,11134,373
82,DB11134,9133,-1,373,11134,373
83,DB11134,79817,-1,373,11134,373
84,DB11134,545,-1,373,11134,373
85,DB11134,1475,1,373,11134,373
86,DB11134,2202,-1,373,11134,373
87,DB11134,9585,-1,373,11134,373
88,DB11134,23061,-1,373,11134,373
89,DB11134,7556,1,373,11134,373
90,DB11134,4430,-1,373,11134,373
91,DB11134,146909,-1,373,11134,373
92,DB11134,4609,-1,373,11134,373
93,DB11134,3298,1,373,11134,373
94,DB11134,7153,-1,373,11134,373
95,DB11134,374,-1,373,11134,373
96,DB11134,29899,-1,373,11134,373
97,DB11134,10782,1,373,11134,373
98,DB11134,10202,1,373,11134,373
99,DB11134,55466,1,373,11134,373
100,DB11134,4097,1,373,11134,373
101,DB11134,26040,-1,373,11134,373
102,DB11134,4501,1,373,11134,373
103,DB11134,162972,1,373,11134,373
104,DB11134,1031,-1,373,11134,373
105,DB11134,5252,1,373,11134,373
106,DB11134,51606,1,373,11134,373
107,DB11134,3188,1,373,11134,373
108,DB11134,170960,1,373,11134,373
109,DB11134,23237,1,373,11134,373
110,DB11134,4603,-1,373,11134,373
111,DB11134,10112,-1,373,11134,373
112,DB11134,665,1,373,11134,373
113,DB11134,8812,1,373,11134,373
114,DB11134,79813,-1,373,11134,373
115,DB11134,7767,1,373,11134,373
116,DB11134,677,-1,373,11134,373
117,DB11134,9212,-1,373,11134,373
118,DB11134,163131,1,373,11134,373
119,DB11134,6648,1,373,11134,373
120,DB11134,23099,1,373,11134,373
121,DB11134,2064,-1,373,11134,373
122,DB11134,1289,-1,373,11134,373
123,DB11134,51129,-1,373,11134,373
124,DB11134,23471,-1,373,11134,373
125,DB11134,23462,1,373,11134,373
126,DB11134,10520,1,373,11134,373
127,DB11134,2295,-1,373,11134,373
128,DB11134,528,1,373,11134,373
129,DB11134,5626,1,373,11134,373
130,DB11134,51700,1,373,11134,373
131,DB11134,1054,1,373,11134,373
132,DB11134,538,1,373,11134,373
133,DB11134,10514,-1,373,11134,373
134,DB11134,1282,-1,373,11134,373
135,DB11134,6102,1,373,11134,373
136,DB11134,6711,-1,373,11134,373
137,DB11134,81930,-1,373,11134,373
138,DB11134,29127,-1,373,11134,373
139,DB11134,79132,1,373,11134,373
140,DB11134,4919,-1,373,11134,373
141,DB11134,11001,-1,373,11134,373
142,DB11134,23276,1,373,11134,373
143,DB11134,8731,1,373,11134,373
144,DB11134,5154,-1,373,11134,373
145,DB11134,1058,-1,373,11134,373
146,DB11134,10808,1,373,11134,373
147,DB11134,4116,1,373,11134,373
148,DB11134,5681,-1,373,11134,373
149,DB11134,6397,1,373,11134,373
150,DB11134,4496,1,373,11134,373
151,DB11134,3310,1,373,11134,373
152,DB11134,22974,-1,373,11134,373
153,DB11134,2959,1,373,11134,373
154,DB11134,6322,1,373,11134,373
155,DB11134,2730,1,373,11134,373
156,DB11134,7422,1,373,11134,373
157,DB11134,9918,-1,373,11134,373
158,DB11134,1021,-1,373,11134,373
159,DB11134,143,-1,373,11134,373
160,DB11134,26353,1,373,11134,373
161,DB11134,57180,-1,373,11134,373
162,DB11134,9518,1,373,11134,373
163,DB11134,2669,1,373,11134,373
164,DB11134,7633,1,373,11134,373
165,DB11134,9958,1,373,11134,373
166,DB11134,64786,1,373,11134,373
167,DB11134,10049,1,373,11134,373
168,DB11134,1690,-1,373,11134,373
169,DB11134,1191,1,373,11134,373
170,DB11134,2354,1,373,11134,373
171,DB11134,7554,1,373,11134,373
172,DB11134,9969,1,373,11134,373
173,DB11134,597,-1,373,11134,373
174,DB11134,7702,1,373,11134,373
175,DB11134,4495,1,373,11134,373
176,DB11134,9833,-1,373,11134,373
177,DB11134,8178,1,373,11134,373
178,DB11134,51585,1,373,11134,373
179,DB11134,8971,-1,373,11134,373
180,DB11134,26994,1,373,11134,373
181,DB11134,113251,1,373,11134,373
182,DB11134,678,-1,373,11134,373
183,DB11134,8233,1,373,11134,373
184,DB11134,5783,-1,373,11134,373
185,DB11134,466,1,373,11134,373
186,DB11134,3337,1,373,11134,373
187,DB11134,6018,1,373,11134,373
188,DB11134,2353,1,373,11134,373
189,DB11134,8013,1,373,11134,373
190,DB11134,3669,1,373,11134,373
191,DB11134,4175,-1,373,11134,373
192,DB11134,11078,-1,373,11134,373
193,DB11134,7739,-1,373,11134,373
194,DB11134,9412,1,373,11134,373
195,DB11134,7270,1,373,11134,373
196,DB11134,4616,1,373,11134,373
197,DB11134,26235,-1,373,11134,373
198,DB11134,57335,1,373,11134,373
199,DB11134,51382,1,373,11134,373
200,DB11134,3652,-1,373,11134,373
201,DB11134,26959,1,373,11134,373
202,DB11134,8941,1,373,11134,373
203,DB11134,1515,1,373,11134,373
