drug,label
DB04573,0
DB01222,1
DB00755,2
DB02546,3
DB00445,4
DB00882,5
DB00947,6
DB00643,7
DB00738,8
DB00398,9
DB00305,10
DB06803,11
DB00783,12
DB00316,13
DB00441,14
DB01095,15
DB01074,16
DB00121,17
DB00227,18
DB06287,19
DB00541,20
DB00477,21
DB00970,22
DB00694,23
DB00523,24
DB00188,25
DB00675,26
DB00822,27
DB00997,28
DB00091,29
DB00928,30
DB01229,31
DB08881,32
DB00982,33
DB01234,34
DB01024,35
DB01118,36
DB00317,37
DB00877,38
DB00570,39
DB00679,40
DB01211,41
DB08865,42
DB00993,43
DB01204,44
DB00903,45
DB00657,46
DB00220,47
DB00624,48
DB00481,49
DB00394,50
DB01008,51
DB01254,52
DB00762,53
DB01030,54
DB00987,55
DB00159,56
DB00973,57
DB00206,58
DB00530,59
DB00367,60
DB01092,61
DB00834,62
DB00412,63
DB00444,64
DB00641,65
DB00162,66
DB00132,67
DB00300,68
DB00758,69
DB01104,70
DB00550,71
DB01165,72
DB01026,73
DB06151,74
DB00331,75
DB00415,76
DB01065,77
DB00773,78
DB08604,79
DB00959,80
DB00446,81
DB01041,82
DB01394,83
DB00741,84
DB00627,85
DB00472,86
DB01083,87
DB01149,88
DB00730,89
DB00655,90
DB00917,91
DB00482,92
DB00990,93
DB00321,94
DB00712,95
DB00864,96
DB01098,97
DB00291,98
DB00480,99
DB01039,100
DB04942,101
DB00544,102
DB01268,103
DB00563,104
DB00136,105
DB00668,106
DB00396,107
DB01115,108
DB01076,109
DB01296,110
DB00503,111
DB08936,112
DB01199,113
DB00977,114
DB00495,115
DB00417,116
DB00648,117
DB00625,118
DB01053,119
DB00252,120
DB01241,121
DB00146,122
DB01110,123
DB01248,124
DB01259,125
DB00603,126
DB01195,127
DB00806,128
DB00334,129
DB00619,130
DB00455,131
DB00908,132
DB01357,133
DB01124,134
DB01262,135
DB00860,136
DB00448,137
DB00257,138
DB00564,139
DB01064,140
DB00871,141
DB00763,142
DB00335,143
DB01042,144
DB00328,145
DB00363,146
DB01132,147
DB00184,148
DB00853,149
DB00279,150
DB00264,151
DB00378,152
DB00368,153
DB00199,154
DB00795,155
DB00571,156
DB00201,157
DB00177,158
DB00537,159
DB00277,160
DB00163,161
DB01220,162
DB00215,163
DB00636,164
DB01142,165
DB01128,166
DB00338,167
DB00945,168
DB01181,169
DB01242,170
DB00293,171
DB00590,172
DB00255,173
DB01586,174
DB01011,175
DB06777,176
DB00531,177
DB00640,178
DB00572,179
DB00709,180
DB01393,181
DB00608,182
DB00586,183
DB00458,184
DB01045,185
DB00502,186
