gene,label
55958,0
1831,1
4864,2
8202,3
51056,4
1846,5
23097,6
9667,7
6509,8
1616,9
16,10
11230,11
91300,12
23649,13
23530,14
9519,15
2309,16
23053,17
3508,18
1843,19
80212,20
5498,21
5054,22
1509,23
63891,24
9712,25
10162,26
6525,27
11182,28
3988,29
211,30
1662,31
3725,32
8634,33
10848,34
8869,35
481,36
51097,37
2113,38
23635,39
90411,40
26036,41
5580,42
55761,43
375346,44
23094,45
11200,46
7165,47
29115,48
2752,49
2065,50
23536,51
687,52
79071,53
6713,54
6304,55
25901,56
5106,57
7158,58
26020,59
23038,60
10635,61
54499,62
1198,63
8061,64
51315,65
11031,66
51616,67
9289,68
64427,69
9016,70
10180,71
6723,72
5611,73
63874,74
4208,75
8678,76
6781,77
6347,78
23051,79
10466,80
8878,81
2769,82
5627,83
79901,84
10019,85
8722,86
9587,87
4669,88
23383,89
57820,90
23401,91
25976,92
6990,93
2353,94
83463,95
4783,96
4780,97
1066,98
10298,99
7319,100
8726,101
727,102
3157,103
9961,104
7286,105
10493,106
12,107
79713,108
1021,109
868,110
5927,111
4118,112
3310,113
115817,114
57406,115
79187,116
55596,117
1318,118
2286,119
3162,120
24144,121
29928,122
51439,123
23368,124
115,125
672,126
57048,127
3185,128
468,129
5257,130
3949,131
57763,132
23131,133
25803,134
10797,135
5468,136
8804,137
23387,138
3476,139
3108,140
11152,141
6015,142
3931,143
1786,144
7538,145
54442,146
57402,147
8881,148
3280,149
5238,150
9267,151
5588,152
54739,153
55204,154
1022,155
178,156
7099,157
8985,158
23378,159
5271,160
58477,161
23212,162
9968,163
8731,164
4482,165
79170,166
57698,167
582,168
80271,169
823,170
1052,171
23070,172
2959,173
10598,174
1389,175
1491,176
26511,177
30850,178
9903,179
10695,180
55227,181
2920,182
55818,183
8444,184
10014,185
1200,186
10482,187
901,188
23335,189
148022,190
4851,191
6655,192
8569,193
3551,194
1301,195
4776,196
23645,197
79735,198
3965,199
7128,200
1337,201
64080,202
5423,203
29954,204
8345,205
4668,206
6324,207
64061,208
7494,209
23429,210
4846,211
9670,212
55092,213
701,214
55008,215
22889,216
3995,217
5884,218
2069,219
6657,220
994,221
27113,222
3163,223
25844,224
10043,225
3553,226
7358,227
81873,228
6402,229
5255,230
23061,231
6284,232
7133,233
3628,234
8935,235
10950,236
3422,237
29978,238
230,239
11197,240
8859,241
8514,242
2810,243
55033,244
9641,245
7074,246
3576,247
6817,248
11261,249
10270,250
10318,251
23753,252
9236,253
9851,254
8672,255
1718,256
1845,257
1161,258
4597,259
291,260
843,261
427,262
220,263
10610,264
5261,265
3105,266
26140,267
629,268
4125,269
2523,270
7407,271
10320,272
2804,273
10589,274
4791,275
6016,276
5743,277
9648,278
4792,279
3383,280
1759,281
102,282
25809,283
1475,284
6909,285
79587,286
6890,287
5836,288
9988,289
23210,290
10013,291
1514,292
6364,293
5566,294
7917,295
4126,296
8503,297
976,298
1311,299
5613,300
9709,301
4023,302
64746,303
84722,304
7016,305
5909,306
5058,307
80700,308
55367,309
26233,310
57192,311
9677,312
23612,313
10782,314
27346,315
8076,316
3107,317
23129,318
1268,319
5997,320
5467,321
9918,322
8720,323
1847,324
57523,325
7077,326
79090,327
6891,328
51170,329
23190,330
4924,331
26959,332
55601,333
25807,334
1891,335
27250,336
79947,337
8349,338
3156,339
51652,340
1979,341
10005,342
1649,343
2261,344
54681,345
84617,346
64423,347
10641,348
23120,349
9467,350
10347,351
34,352
4123,353
114034,354
8646,355
207,356
4582,357
10723,358
6392,359
55856,360
1001,361
51083,362
3678,363
5920,364
2872,365
2222,366
57804,367
9552,368
9143,369
2824,370
50865,371
23224,372
2887,373
22839,374
51422,375
2232,376
4627,377
8767,378
6307,379
10903,380
1954,381
7262,382
54431,383
1471,384
29103,385
124565,386
5571,387
392,388
4638,389
4312,390
7430,391
10681,392
2987,393
10559,394
23659,395
5654,396
6804,397
4794,398
6195,399
25,400
4047,401
5526,402
1955,403
6810,404
11020,405
5971,406
10385,407
27000,408
1026,409
23408,410
63916,411
51226,412
80208,413
1519,414
5831,415
50814,416
3482,417
84159,418
23654,419
822,420
9415,421
9221,422
55608,423
5788,424
53343,425
6845,426
9637,427
23276,428
1604,429
4131,430
6919,431
4601,432
30836,433
3300,434
7439,435
64077,436
10057,437
7376,438
4140,439
5366,440
2551,441
23650,442
3797,443
54541,444
1643,445
2817,446
23588,447
4128,448
23476,449
11011,450
10818,451
64782,452
175,453
5166,454
9540,455
3775,456
23360,457
665,458
58533,459
79629,460
4850,461
79586,462
6727,463
11284,464
1459,465
4998,466
51001,467
9749,468
4677,469
842,470
818,471
533,472
9325,473
171586,474
7994,475
26229,476
5723,477
2185,478
4701,479
6774,480
65123,481
7296,482
3964,483
1396,484
